"","group","median_BaromP","mean_BaromP","min_BaromP","max_BaromP","first_Qu_BaromP","third_Qu_BaromP","count","first_time","median_time","median_time_UTC","IBI_sec"
"1",1,1003.808594,1003.81120074425,1003.383301,1004.49292,1003.7301025,1003.889893,3000,1579752362.63807,1579752512.49024,2020-01-23 09:08:32,0
"2",2,1004.719727,1004.713174317,1004.050049,1005.184082,1004.616699,1004.815979,3000,1579755966.21792,1579756117.37039,2020-01-23 10:08:37,3603.57985091209
"3",3,1005.743408,1005.74941821833,1005.370605,1006.30542,1005.646423,1005.833801,3000,1579759571.18879,1579759721.84015,2020-01-23 11:08:41,3604.97087097168
"4",4,1006.27417,1006.26137232033,1005.663818,1006.673828,1006.164062,1006.381165,3000,1579763175.6499,1579763327.12207,2020-01-23 12:08:47,3604.46111702919
"5",5,1006.685181,1006.684238357,1006.325195,1006.991699,1006.616455,1006.753174,3000,1579766780.32703,1579766931.38015,2020-01-23 13:08:51,3604.67712903023
"6",6,1006.952393,1006.950547119,1006.580322,1007.494629,1006.875,1007.02417,3000,1579770385.90273,1579770537.05087,2020-01-23 14:08:57,3605.57569503784
"7",7,1006.94043,1006.93920524767,1006.572021,1007.267334,1006.873779,1007.00708,3000,1579773991.06366,1579774141.32193,2020-01-23 15:09:01,3605.16093182564
"8",8,1007.023438,1007.02281201136,1006.445312,1007.878174,1006.947021,1007.097412,3080,1579777594.42754,1579777742.27952,2020-01-23 16:09:02,3603.3638792038
"9",9,1007.0098875,1006.59383902867,1004.999512,1007.676514,1005.948547,1007.24054,3000,1579781200.40066,1579781350.46017,2020-01-23 17:09:10,3605.97311878204
"10",10,1005.217407,1005.20079751867,1004.150146,1005.971924,1005.031982,1005.390686,3000,1579784803.5917,1579784955.34032,2020-01-23 18:09:15,3603.19103717804
"11",11,1005.838989,1005.80892081667,1004.796387,1006.476074,1005.652832,1005.993713,3000,1579788407.74177,1579788558.38881,2020-01-23 19:09:18,3604.1500749588
"12",12,1008.515015,1008.509989739,1008.13623,1008.852295,1008.443359,1008.581543,3000,1579792013.12736,1579792163.1005,2020-01-23 20:09:23,3605.38559389114
"13",13,1008.792847,1008.79147583267,1008.383789,1009.295166,1008.714355,1008.868408,3000,1579795617.70081,1579795768.68048,2020-01-23 21:09:28,3604.57344818115
"14",14,1008.9000245,1008.92469937367,1008.545654,1009.359619,1008.814209,1009.030029,3000,1579799222.80127,1579799374.06175,2020-01-23 22:09:34,3605.10046195984
"15",15,1009.605713,1009.60920054026,1009.19458,1010.174316,1009.538513,1009.672363,3080,1579802827.17601,1579802981.13215,2020-01-23 23:09:41,3604.37473702431
"16",16,1009.272461,1009.26848510633,1008.937744,1009.545654,1009.211304,1009.32666,3000,1579806431.74946,1579806582.90193,2020-01-24 00:09:42,3604.57344794273
"17",17,1009.802979,1009.808312339,1009.381104,1010.16748,1009.741699,1009.872559,3000,1579810036.92769,1579810188.29185,2020-01-24 01:09:48,3605.17823195457
"18",18,1010.251709,1010.239772389,1009.759033,1010.587891,1010.15741,1010.33062725,3000,1579813642.39967,1579813793.26272,2020-01-24 02:09:53,3605.47197508812
"19",19,1009.732056,1009.732942063,1009.429199,1010.117188,1009.658936,1009.805664,3000,1579817246.34242,1579817396.31119,2020-01-24 03:09:56,3603.94275283813
"20",20,1009.175781,1009.18122512304,1008.485352,1010.054443,1008.99646,1009.343628,3000,1579820849.53346,1579821000.1805,2020-01-24 04:10:00,3603.19103813171
"21",21,1011.952637,1011.819488943,1011.030762,1012.321533,1011.52069075,1012.042725,3000,1579824453.01824,1579824603.57025,2020-01-24 05:10:03,3603.48477888107
