"","group","median_BaromP","mean_BaromP","min_BaromP","max_BaromP","first_Qu_BaromP","third_Qu_BaromP","count","first_time","median_time","median_time_UTC","IBI_sec"
"1",1,1027.1519775,1027.06748706467,1025.336426,1027.890137,1026.838867,1027.361389,3000,1581137354.62079,1581137504.96976,2020-02-08 09:51:44,0
"2",2,1028.1763915,1027.89387548033,1026.301758,1028.831787,1027.32580575,1028.428955,3000,1581140957.76,1581141108.10896,2020-02-08 10:51:48,3603.13921689987
"3",3,1028.196655,1028.04994969733,1026.270508,1029.313965,1027.67443875,1028.517578,3000,1581144561.18431,1581144711.52896,2020-02-08 11:51:51,3603.42430901527
"4",4,1026.6903075,1026.60875895033,1025.311035,1027.688477,1026.26574675,1026.949768,3000,1581148164.3667,1581148314.72,2020-02-08 12:51:54,3603.18238687515
"5",5,1027.620117,1027.617341151,1025.316895,1029.810791,1027.499695,1027.741699,3000,1581151767.66146,1581151918.01039,2020-02-08 13:51:58,3603.29475903511
"6",6,1027.164307,1027.15756185487,1026.7146,1027.560547,1027.057861,1027.268555,3080,1581155369.63424,1581155524.25136,2020-02-08 14:52:04,3601.97277808189
"7",7,1027.170166,1027.16732644805,1026.615723,1027.560547,1027.069885,1027.27502425,3080,1581158973.30912,1581159120.18913,2020-02-08 15:52:00,3603.67488098145
"8",8,1027.005371,1027.00288802667,1026.574463,1027.501221,1026.882507,1027.115479,3000,1581162576.60384,1581162726.94849,2020-02-08 16:52:06,3603.29471802711
"9",9,1025.057373,1025.05531999833,1023.665771,1026.979492,1024.738464,1025.278564,3000,1581166178.87905,1581166329.23231,2020-02-08 17:52:09,3602.27521109581
"10",10,1024.850586,1024.808141684,1023.7854,1025.60376,1024.596924,1025.042786,3000,1581169782.66626,1581169933.01952,2020-02-08 18:52:13,3603.78721189499
"11",11,1025.29187,1025.26151766333,1023.957764,1026.095459,1025.060791,1025.50427225,3000,1581173385.96098,1581173536.30991,2020-02-08 19:52:16,3603.29471802711
"12",12,1028.021973,1028.10248543033,1027.560547,1029.095215,1027.904541,1028.187378,3000,1581176988.85823,1581177139.21153,2020-02-08 20:52:19,3602.89725494385
"13",13,1029.105835,1029.09737710933,1028.668945,1029.509277,1029.00415,1029.194458,3000,1581180592.04062,1581180742.38959,2020-02-08 21:52:22,3603.18238806725
"14",14,1029.466553,1029.461048425,1028.470215,1030.520264,1029.354431,1029.56854225,3000,1581184195.31808,1581184345.68864,2020-02-08 22:52:25,3603.2774579525
"15",15,1029.401611,1029.40018415633,1028.76416,1030.384277,1029.310547,1029.48468,3000,1581187798.20672,1581187948.27057,2020-02-08 23:52:28,3602.8886449337
"16",16,1029.833618,1029.830537436,1029.46582,1030.218262,1029.757263,1029.903076,3000,1581191401.29408,1581191551.4616,2020-02-09 00:52:31,3603.08735704422
"17",17,1029.568848,1029.567001297,1029.16333,1029.993408,1029.50079375,1029.635742,3000,1581195004.26911,1581195154.62241,2020-02-09 01:52:34,3602.97502613068
"18",18,1028.652344,1028.64969938867,1027.588135,1029.068359,1028.55542,1028.748596,3000,1581198606.95039,1581198757.29936,2020-02-09 02:52:37,3602.68128299713
"19",19,1026.300415,1026.28822037433,1025.249756,1027.391357,1026.107788,1026.49163825,3000,1581202210.02914,1581202360.27871,2020-02-09 03:52:40,3603.07874679565
"20",20,1027.219238,1027.19236507367,1025.944092,1028.203857,1026.963867,1027.46075425,3000,1581205813.33246,1581205963.68144,2020-02-09 04:52:43,3603.30332803726
