"","group","median_BaromP","mean_BaromP","min_BaromP","max_BaromP","first_Qu_BaromP","third_Qu_BaromP","count","first_time","median_time","median_time_UTC","IBI_sec"
"1",1,999.05896,999.017771933901,998.192383,999.56543,998.870483,999.190552,3080,1579693779.67105,1579693926.62014,2020-01-22 16:52:06,0
"2",2,999.736572,999.681253523139,998.8125,1000.184814,999.569885,999.852661,3000,1579697384.34818,1579697535.09886,2020-01-22 17:52:15,3604.67712807655
"3",3,1000.041504,999.990985333333,999.069824,1000.615479,999.839294,1000.208008,3000,1579700989.61279,1579701140.06112,2020-01-22 18:52:20,3605.26461291313
"4",4,1000.739014,1000.7117995732,999.91626,1001.207275,1000.595459,1000.864258,3080,1579704595.29217,1579704749.13169,2020-01-22 19:52:29,3605.67937707901
"5",5,1001.914062,1001.90537704894,1001.452637,1002.267822,1001.813721,1002.000244,3000,1579708199.34721,1579708350.49968,2020-01-22 20:52:30,3604.05504393578
"6",6,1002.280884,1002.27265734574,1001.87207,1002.62915,1002.188049,1002.360779,3000,1579711805.00929,1579711955.76001,2020-01-22 21:52:35,3605.6620759964
"7",7,1002.622314,1002.62489956281,1002.1875,1003.082764,1002.515869,1002.734131,3000,1579715409.66047,1579715559.91874,2020-01-22 22:52:39,3604.65117907524
"8",8,1002.848145,1002.83893505634,1002.298096,1003.238281,1002.750061,1002.936279,3000,1579719014.32895,1579719164.69089,2020-01-22 23:52:44,3604.66847801208
"9",9,1002.913574,1002.90919920718,1002.467285,1003.250977,1002.824219,1002.998535,3080,1579722619.47266,1579722765.70896,2020-01-23 00:52:45,3605.14371299744
"10",10,1002.814087,1002.81199341232,1002.32251,1003.293457,1002.727783,1002.89917,3000,1579726224.71136,1579726374.65855,2020-01-23 01:52:54,3605.23870277405
"11",11,1002.872681,1002.87458051975,1002.416748,1003.422119,1002.791687,1002.954834,3000,1579729829.2416,1579729979.40912,2020-01-23 02:52:59,3604.53023719788
"12",12,1002.696533,1002.65314013403,1001.963135,1003.193848,1002.527344,1002.811035,3000,1579733438.72256,1579733589.56832,2020-01-23 03:53:09,3609.48096489906
"13",13,1003.959717,1003.91509274689,1002.915527,1004.538086,1003.746338,1004.122314,3000,1579737043.27006,1579737194.72064,2020-01-23 04:53:14,3604.54749798775
"14",14,1006.086426,1006.08715811895,1005.670166,1006.448975,1006.021423,1006.151367,3000,1579740648.25823,1579740798.4128,2020-01-23 05:53:18,3604.98817110062
"15",15,1006.566162,1006.52847805544,1005.768066,1007.121826,1006.375427,1006.709229,3000,1579744253.02174,1579744403.66878,2020-01-23 06:53:23,3604.76350903511
"16",16,1008.548218,1008.53482121615,1006.375,1008.864746,1008.463074,1008.631653,3000,1579747858.07903,1579748008.32865,2020-01-23 07:53:28,3605.05729198456
"17",17,1009.364746,1009.36522605152,1008.928223,1009.710693,1009.283203,1009.445312,3000,1579751463.24001,1579751613.58896,2020-01-23 08:53:33,3605.16097283363
"18",18,1010.221436,1010.2238170204,1009.818115,1010.55127,1010.15509,1010.299561,3000,1579755068.48736,1579755218.53823,2020-01-23 09:53:38,3605.24735307693
"19",19,1011.14563,1011.14929125436,1010.86499,1011.496582,1011.078125,1011.216797,3000,1579758673.13858,1579758823.40113,2020-01-23 10:53:43,3604.65121793747
"20",20,1011.415039,1011.41449466667,1011.00708,1011.753418,1011.338623,1011.489502,3000,1579762278.1008,1579762428.25104,2020-01-23 11:53:48,3604.96222114563
"21",21,1011.821777,1011.8415302103,1011.423828,1012.289795,1011.762695,1011.908081,3000,1579765882.75202,1579766033.70145,2020-01-23 12:53:53,3604.65121889114
"22",22,1011.649414,1011.65843194126,1011.317871,1012.150879,1011.584839,1011.7213135,3000,1579769488.19808,1579769639.64866,2020-01-23 13:53:59,3605.44606399536
"23",23,1011.773193,1011.77602852784,1011.454346,1012.13623,1011.707275,1011.843018,3000,1579773093.74783,1579773244.39919,2020-01-23 14:54:04,3605.54974508286
"24",24,1011.21814,1011.18714756519,1010.287842,1011.822754,1011.02008075,1011.380127,3000,1579776701.5872,1579776852.23857,2020-01-23 15:54:12,3607.83937287331
"25",25,1011.56543,1011.52826494793,1010.734375,1012.116211,1011.383789,1011.706543,3000,1579780305.84096,1579780456.38864,2020-01-23 16:54:16,3604.2537560463
"26",26,1013.178711,1013.17995585323,1012.455566,1013.870605,1013.112854,1013.242188,3080,1579783910.82913,1579784065.58015,2020-01-23 17:54:25,3604.98817110062
"27",27,1013.828003,1013.82705952683,1013.516602,1014.37207,1013.74585,1013.90374775,3000,1579787515.78274,1579787666.23103,2020-01-23 18:54:26,3604.95361089706
"28",28,1014.369385,1014.36430446296,1014.058105,1016.345459,1014.283325,1014.437866,3000,1579791121.0387,1579791271.30129,2020-01-23 19:54:31,3605.25596308708
"29",29,1014.830811,1014.8314953791,1014.519775,1015.18042,1014.751282,1014.910828,3000,1579794725.68127,1579794876.22895,2020-01-23 20:54:36,3604.642567873
"30",30,1014.936768,1014.93996577923,1014.554443,1015.253906,1014.868652,1015.010742,3000,1579798330.34114,1579798480.58207,2020-01-23 21:54:40,3604.65986895561
"31",31,1015.419922,1015.41604391826,1014.94043,1015.783447,1015.331299,1015.498779,3000,1579801934.67262,1579802085.63071,2020-01-23 22:54:45,3604.33148622513
"32",32,1015.808716,1015.81163242498,1015.376709,1016.192139,1015.719116,1015.90332,3000,1579805540.23106,1579805690.38128,2020-01-23 23:54:50,3605.55843496323
"33",33,1015.8707275,1015.865225584,1015.1604,1016.32666,1015.796875,1015.933655,3000,1579809145.27105,1579809303.62064,2020-01-24 00:55:03,3605.03999185562
"34",34,1015.75061,1015.74335367733,1015.289795,1016.080078,1015.667419,1015.821777,3000,1579812762.528,1579812917.49072,2020-01-24 01:55:17,3617.25694417953
"35",35,1015.440918,1015.44146724916,1015.005127,1015.809082,1015.355713,1015.529785,3000,1579816371.87937,1579816522.63009,2020-01-24 02:55:22,3609.3513739109
"36",36,1014.134277,1014.04431068371,1012.950439,1014.709717,1013.828247,1014.319702,3080,1579819976.73791,1579820131.38962,2020-01-24 03:55:31,3604.85854005814
"37",37,1013.698242,1013.57183221565,1011.991699,1014.600342,1013.239014,1013.991455,3000,1579823581.57919,1579823731.33199,2020-01-24 04:55:31,3604.84127998352
"38",38,1014.913208,1014.84311901375,1013.693359,1015.591797,1014.608643,1015.112488,3000,1579827185.92801,1579827336.31151,2020-01-24 05:55:36,3604.34882593155
"39",39,1016.004395,1015.94683635146,1014.542236,1016.845215,1015.6519775,1016.259033,3000,1579830791.16672,1579830941.76194,2020-01-24 06:55:41,3605.23870301247
"40",40,1017.392578,1017.34514401274,1016.295898,1018.080078,1017.0896,1017.599121,3080,1579834395.67105,1579834542.33072,2020-01-24 07:55:42,3604.50432801247
"41",41,1019.261963,1019.26480074362,1018.618164,1019.536621,1019.192566,1019.340393,3000,1579838000.20128,1579838150.7792,2020-01-24 08:55:50,3604.53023695946
"42",42,1019.890503,1019.89466412475,1019.578125,1020.284424,1019.823242,1019.959412,3000,1579841604.57602,1579841755.64207,2020-01-24 09:55:55,3604.37473702431
"43",43,1020.656982,1020.65581592019,1020.319336,1020.951416,1020.590149,1020.726562,3000,1579845209.83198,1579845359.97792,2020-01-24 10:55:59,3605.25596308708
"44",44,1020.4522705,1020.41108617326,1019.300781,1022.040039,1020.074219,1020.79766825,3000,1579848814.07713,1579848964.43039,2020-01-24 11:56:04,3604.24514484406
"45",45,1020.959717,1020.9658289876,1020.647949,1021.262695,1020.898926,1021.029541,3000,1579852418.63328,1579852569.47903,2020-01-24 12:56:09,3604.55614805222
"46",46,1021.098633,1021.09865726395,1020.692139,1021.429932,1021.028809,1021.165527,3080,1579856024.07934,1579856178.52801,2020-01-24 13:56:18,3605.44606494904
"47",47,1021.106689,1021.11348352244,1020.707275,1021.487793,1021.040527,1021.18499775,3000,1579859629.45633,1579859779.39919,2020-01-24 14:56:19,3605.37698411942
"48",48,1021.103516,1021.0974246276,1020.784668,1021.414795,1021.033264,1021.158386,3000,1579863233.88288,1579863384.62928,2020-01-24 15:56:24,3604.42655706406
"49",49,1020.119751,1020.06603414137,1018.906494,1020.933594,1019.746399,1020.410278,3000,1579866838.94017,1579866988.99104,2020-01-24 16:56:28,3605.05729079247
"50",50,1020.800537,1020.75220561771,1019.941406,1021.349854,1020.626343,1020.922852,3000,1579870443.19393,1579870594.03968,2020-01-24 17:56:34,3604.2537560463
"51",51,1021.566528,1021.54584194735,1021.058594,1021.937256,1021.449707,1021.64685075,3000,1579874048.55361,1579874200.19856,2020-01-24 18:56:40,3605.35968399048
"52",52,1021.902588,1021.89287420536,1021.424316,1022.343262,1021.800293,1021.990479,3000,1579877654.19839,1579877804.7504,2020-01-24 19:56:44,3605.64477610588
"53",53,1022.9021,1022.90340137353,1022.377686,1023.323242,1022.806885,1022.99707,3000,1579881258.84961,1579881408.80112,2020-01-24 20:56:48,3604.65121793747
"54",54,1022.636719,1022.62683697424,1022.147217,1022.992676,1022.528809,1022.727783,3000,1579884864.30432,1579885014.45887,2020-01-24 21:56:54,3605.4547150135
"55",55,1022.438965,1022.43994991192,1022.130859,1022.833984,1022.369141,1022.517822,3000,1579888468.86047,1579888618.91138,2020-01-24 22:56:58,3604.55614805222
"56",56,1022.316162,1022.31285348945,1021.820068,1022.74292,1022.231689,1022.397949,3000,1579892073.59807,1579892223.95137,2020-01-24 23:57:03,3604.73759889603
