"","group","median_BaromP","mean_BaromP","min_BaromP","max_BaromP","first_Qu_BaromP","third_Qu_BaromP","count","first_time","median_time","median_time_UTC","IBI_sec"
"1",1,1008.371338,1008.36746891233,1007.828125,1008.951416,1008.253418,1008.48053,3000,1579419883.50623,1579420033.76017,2020-01-19 12:47:13,0
"2",2,1007.992554,1008.01900357033,1007.570068,1008.722656,1007.868896,1008.1427,3000,1579423486.97375,1579423637.23201,2020-01-19 13:47:17,3603.46751999855
"3",3,1007.1433105,1007.19411851818,1006.529297,1008.416748,1007.004883,1007.355286,3080,1579427090.19934,1579427236.00799,2020-01-19 14:47:16,3603.22559690475
"4",4,1006.064209,1006.06009363929,1005.227295,1007.068359,1005.70404075,1006.38287325,3080,1579430693.41633,1579430839.968,2020-01-19 15:47:19,3603.2169880867
"5",5,1004.1698,1004.14357617633,1002.795898,1005.190186,1003.906799,1004.395325,3000,1579434296.48639,1579434446.93904,2020-01-19 16:47:26,3603.07005691528
"6",6,1002.402466,1002.41087059481,1001.020508,1003.651367,1002.189575,1002.637451,3080,1579437899.66016,1579438046.0088,2020-01-19 17:47:26,3603.17377710342
"7",7,1000.955078,1000.94878523767,999.552979,1002.054199,1000.669067,1001.24115,3000,1579441502.6611,1579441653.01007,2020-01-19 18:47:33,3603.00093579292
"8",8,1000.978271,1000.9553016526,999.786377,1002.516357,1000.696716,1001.23193325,3080,1579445105.03134,1579445259.38065,2020-01-19 19:47:39,3602.37024116516
"9",9,1001.475952,1001.48823689,1000.131348,1003.07373,1001.13110375,1001.857422,3000,1579448708.81855,1579448859.17185,2020-01-19 20:47:39,3603.78721189499
"10",10,1003.439941,1003.03822840533,1001.514648,1003.955566,1003.17376675,1003.55835,3000,1579452312.11327,1579452462.45792,2020-01-19 21:47:42,3603.29471898079
"11",11,1003.858887,1003.86362344091,1003.179688,1004.379639,1003.743652,1003.988281,3080,1579455915.09695,1579456061.44991,2020-01-19 22:47:41,3602.98367595673
"12",12,1003.092407,1003.10595394733,1001.786865,1004.43335,1002.76843275,1003.47668425,3000,1579459518.38306,1579459668.73199,2020-01-19 23:47:48,3603.28610801697
"13",13,1003.523926,1003.54908566467,1003.523926,1005.837891,1003.523926,1003.523926,3000,1579463121.05569,1579463271.40895,2020-01-20 00:47:51,3602.67263317108
"14",14,1005.965332,1005.92667672955,1004.687256,1007.022217,1005.636475,1006.23504625,3080,1579466724.14305,1579466870.60834,2020-01-20 01:47:50,3603.0873568058
"15",15,1006.306274,1006.33402881733,1005.15625,1007.829102,1005.99902375,1006.666016,3000,1579470327.14398,1579470477.79967,2020-01-20 02:47:57,3603.00093603134
"16",16,1007.4522705,1007.45486491333,1006.008789,1008.594238,1007.199158,1007.726807,3000,1579473930.6288,1579474080.98208,2020-01-20 03:48:00,3603.48482012749
"17",17,1009.25061,1008.99528943261,1007.123291,1010.309082,1008.87048325,1009.421631,2686,1579477565.21762,1579477699.87199,2020-01-20 04:48:19,3634.58881497383
