"","group","median_BaromP","mean_BaromP","min_BaromP","max_BaromP","first_Qu_BaromP","third_Qu_BaromP","count","first_time","median_time","median_time_UTC","IBI_sec"
"1",1,1004.005737,1003.99369148733,1003.375732,1004.421875,1003.898193,1004.11358625,3000,1579356650.61215,1579356800.96112,2020-01-18 19:13:20,0
"2",2,1004.40332,1004.37714144967,1003.613281,1004.905762,1004.261963,1004.519043,3000,1579360253.1984,1579360403.4696,2020-01-18 20:13:23,3602.58625292778
"3",3,1005.57666,1005.57629061267,1004.973389,1006.020264,1005.480469,1005.671448,3000,1579363855.9229,1579364006.88098,2020-01-18 21:13:26,3602.72449398041
"4",4,1005.993408,1005.99236442468,1005.210449,1006.447266,1005.911072,1006.078674,3080,1579367459.62369,1579367605.9896,2020-01-18 22:13:25,3603.70079112053
"5",5,1006.338623,1006.338633949,1005.926514,1006.70166,1006.24823,1006.433899,3000,1579371062.63327,1579371212.97792,2020-01-18 23:13:32,3603.00958585739
"6",6,1006.659912,1006.65210138967,1006.33667,1007.026855,1006.56854275,1006.735107,3000,1579374665.53922,1579374815.89248,2020-01-19 00:13:35,3602.90594506264
"7",7,1006.644043,1006.652060709,1006.300537,1006.972168,1006.580566,1006.716675,3000,1579378268.64384,1579378418.98848,2020-01-19 01:13:38,3603.10461711884
"8",8,1006.898804,1006.89563590867,1006.606934,1007.20459,1006.82251,1006.971985,3000,1579381872.19778,1579382022.55103,2020-01-19 02:13:42,3603.55394101143
"9",9,1006.739136,1006.72710318933,1006.195801,1007.207275,1006.617737,1006.849854,3000,1579385475.25918,1579385625.61248,2020-01-19 03:13:45,3603.06140589714
"10",10,1006.547363,1006.53532048067,1005.810303,1007.07251,1006.41589375,1006.67095925,3000,1579389078.15648,1579389228.50978,2020-01-19 04:13:48,3602.89729499817
"11",11,1006.818237,1006.79069947067,1005.515381,1007.750977,1006.52703875,1007.07666,3000,1579392681.45985,1579392831.8088,2020-01-19 05:13:51,3603.30336904526
"12",12,1006.5064695,1006.51125618933,1004.873535,1008.033203,1006.13116475,1006.91217025,3000,1579396284.0461,1579396434.71905,2020-01-19 06:13:54,3602.58625292778
"13",13,1006.0061035,1005.96053132733,1004.508545,1006.901367,1005.715515,1006.253235,3000,1579399887.65186,1579400038.10015,2020-01-19 07:13:58,3603.6057600975
"14",14,1005.0924075,1005.11494717667,1003.175537,1007.684082,1004.646301,1005.45196525,3000,1579403489.92703,1579403640.28033,2020-01-19 08:14:00,3602.27517104149
"15",15,1002.943726,1002.88341739133,1000.841309,1003.972412,1002.659607,1003.16705325,3000,1579407093.65377,1579407244.01135,2020-01-19 09:14:04,3603.7267408371
"16",16,1001.0930175,1001.02156356467,999.578857,1001.967773,1000.760498,1001.348206,3000,1579410695.92894,1579410846.17856,2020-01-19 10:14:06,3602.27517104149
"17",17,999.665405,999.635308023667,998.328369,1000.486084,999.3974,999.91925025,3000,1579414300.0272,1579414450.38049,2020-01-19 11:14:10,3604.09825396538
"18",18,997.970215,997.945811284,996.596191,998.947998,997.706848,998.196655,3000,1579417902.82942,1579418053.18272,2020-01-19 12:14:13,3602.80222511292
"19",19,995.38623,995.325766762333,994.231689,996.054199,995.130249,995.544556,3000,1579421506.32289,1579421656.57247,2020-01-19 13:14:16,3603.49346995354
"20",20,993.001953,992.920303849351,991.559814,993.769775,992.65020775,993.28015125,3080,1579425108.89184,1579425255.65952,2020-01-19 14:14:15,3602.56895208359
"21",21,991.086914,991.046604165,989.72998,992.160645,990.769653,991.312805,3000,1579428711.88417,1579428862.6608,2020-01-19 15:14:22,3602.99232602119
"22",22,990.708496,990.698440344667,989.875,991.442383,990.56073,990.84625225,3000,1579432314.97153,1579432465.32048,2020-01-19 16:14:25,3603.0873568058
"23",23,989.515381,989.510904364333,988.309082,991.855957,989.22168,989.76306125,3000,1579435918.45631,1579436068.8096,2020-01-19 17:14:28,3603.48478007317
"24",24,990.107178,990.045163399333,988.525146,990.994873,989.76330575,990.361389,3000,1579439521.54366,1579439671.88831,2020-01-19 18:14:31,3603.08735609055
"25",25,990.965576,990.92053873,989.491211,992.657471,990.69335975,991.176514,3000,1579443124.61376,1579443274.98864,2020-01-19 19:14:34,3603.0700969696
"26",26,992.976807,992.970780105,991.892578,993.584961,992.877686,993.061279,3000,1579446727.60609,1579446878.36976,2020-01-19 20:14:38,3602.99232602119
"27",27,993.475586,993.465938230667,992.670898,994.000977,993.352783,993.584473,3000,1579450331.09951,1579450481.45281,2020-01-19 21:14:41,3603.49342989922
"28",28,992.7303465,992.703367262333,991.333252,994.054443,992.419434,993.001953,3000,1579453933.2797,1579454083.62863,2020-01-19 22:14:43,3602.18018007278
"29",29,993.619873,993.569699707667,991.957275,994.765869,993.317627,993.885498,3000,1579457536.66944,1579457687.0227,2020-01-19 23:14:47,3603.38974905014
"30",30,994.162964,994.165080437013,992.821289,995.324707,993.859436,994.47454825,3080,1579461139.74815,1579461286.20048,2020-01-20 00:14:46,3603.07870602608
"31",31,994.6705325,994.637454345333,993.251221,995.838379,994.380066,994.914551,3000,1579464742.95649,1579464893.30975,2020-01-20 01:14:53,3603.20833778381
"32",32,995.096802,995.093887121333,993.818359,996.170898,994.81164575,995.380249,3000,1579468346.04384,1579468496.38849,2020-01-20 02:14:56,3603.08735704422
"33",33,995.513672,995.506281900333,994.297119,996.522217,995.257446,995.781311,3000,1579471949.12255,1579472099.47152,2020-01-20 03:14:59,3603.07870602608
"34",34,995.0620115,995.022076181494,993.780762,996.383789,994.669006,995.365479,3080,1579475551.99394,1579475698.57152,2020-01-20 04:14:58,3602.8713850975
"35",35,996.390869,996.393908525333,994.232422,998.188721,996.038818,996.757568,3000,1579479155.17632,1579479305.52958,2020-01-20 05:15:05,3603.18238782883
"36",36,999.2772215,999.26376716,997.712158,1000.781006,998.956787,999.591309,3000,1579482758.47969,1579482908.82863,2020-01-20 06:15:08,3603.30336809158
"37",37,1002.159546,1002.129499911,1000.561768,1003.563477,1001.81036375,1002.470459,3000,1579486361.27327,1579486511.84258,2020-01-20 07:15:11,3602.79357409477
"38",38,1004.299927,1004.33509480467,1002.738037,1006.146484,1003.872314,1004.77154525,3000,1579489964.36062,1579490114.89968,2020-01-20 08:15:14,3603.0873568058
"39",39,1006.556641,1006.500060787,1004.232666,1008.045898,1006.02697775,1006.99926725,3000,1579493567.30978,1579493717.65871,2020-01-20 09:15:17,3602.94915604591
"40",40,1007.654785,1007.635191731,1006.594727,1008.274658,1007.488037,1007.787415,3000,1579497170.62176,1579497320.97073,2020-01-20 10:15:20,3603.31197810173
"41",41,1008.9050295,1008.925176271,1006.655029,1010.898682,1008.196045,1009.69720425,3000,1579500773.00065,1579500923.3496,2020-01-20 11:15:23,3602.37889194489
"42",42,1009.51123,1009.65955842967,1007.642334,1012.354004,1008.977295,1010.10504125,3000,1579504376.57185,1579504526.43265,2020-01-20 12:15:26,3603.57120013237
"43",43,1011.350586,1011.36439698,1009.447021,1013.07373,1011.099609,1011.62054425,3000,1579507979.95295,1579508130.30192,2020-01-20 13:15:30,3603.38109898567
