"","group","median_BaromP","mean_BaromP","min_BaromP","max_BaromP","first_Qu_BaromP","third_Qu_BaromP","count","first_time","median_time","median_time_UTC","IBI_sec"
"1",1,1021.378052,1021.37913387033,1020.811768,1022.589844,1021.258728,1021.489258,3000,1582084736.48737,1582084886.74127,2020-02-19 09:01:26,0
"2",2,1020.547607,1020.53543733052,1019.552246,1021.620605,1020.307556,1020.76452625,3080,1582088339.6525,1582088486.00113,2020-02-19 10:01:26,3603.16512799263
"3",3,1021.015625,1020.993557371,1019.853027,1021.942383,1020.76239,1021.244385,3000,1582091943.19775,1582092093.55104,2020-02-19 11:01:33,3603.54524993896
"4",4,1021.515381,1021.50181209433,1020.634766,1022.441406,1021.29589875,1021.711487,3000,1582095545.87038,1582095696.21935,2020-02-19 12:01:36,3602.67263293266
"5",5,1021.028198,1021.00299464733,1019.87085,1021.927734,1020.771423,1021.259888,3000,1582099148.6899,1582099299.03888,2020-02-19 13:01:39,3602.81952500343
"6",6,1020.7023925,1020.70060074733,1019.54248,1021.727539,1020.439575,1020.958984,3000,1582102751.64767,1582102902.00097,2020-02-19 14:01:42,3602.95776605606
"7",7,1019.9143065,1019.900851404,1018.733887,1020.961426,1019.63623,1020.166504,3000,1582106354.61409,1582106504.95873,2020-02-19 15:01:44,3602.96641492844
"8",8,1018.999268,1019.008941566,1017.843262,1020.132324,1018.74292,1019.27948,3000,1582109957.58046,1582110107.92944,2020-02-19 16:01:47,3602.96637606621
"9",9,1018.771362,1018.73754882,1016.993896,1019.885986,1018.408447,1019.08197025,3000,1582113560.56418,1582113710.90879,2020-02-19 17:01:50,3602.98371601105
"10",10,1019.833862,1019.80296044833,1018.72876,1020.589111,1019.612244,1020.014893,3000,1582117164.33409,1582117314.67874,2020-02-19 18:01:54,3603.76991200447
"11",11,1020.101318,1020.05927197433,1018.934082,1020.936768,1019.859375,1020.29577625,3000,1582120766.96351,1582120917.30816,2020-02-19 19:01:57,3602.62942290306
"12",12,1021.093872,1021.06727579433,1019.810547,1022.020264,1020.852417,1021.305908,3000,1582124370.05952,1582124520.41282,2020-02-19 20:02:00,3603.09600710869
"13",13,1020.839722,1020.80253972167,1019.164062,1021.835693,1020.566345,1021.082642,3000,1582127973.24191,1582128123.49153,2020-02-19 21:02:03,3603.18238687515
"14",14,1021.318726,1021.291533035,1019.657959,1022.404053,1021.092529,1021.524475,3000,1582131576.19102,1582131726.54,2020-02-19 22:02:06,3602.94911623001
"15",15,1021.657471,1021.62111648571,1020.608643,1022.584717,1021.397461,1021.866028,3080,1582135179.22656,1582135325.77823,2020-02-19 23:02:05,3603.03553581238
"16",16,1022.073608,1022.01914236623,1020.625244,1023.223877,1021.66918975,1022.37585425,3080,1582138782.40034,1582138928.45951,2020-02-20 00:02:08,3603.1737780571
"17",17,1022.7508545,1022.70096546656,1021.623535,1023.628174,1022.482605,1022.949219,3080,1582142385.27168,1582142531.62031,2020-02-20 01:02:11,3602.87134504318
"18",18,1022.9071045,1022.8628448,1021.811279,1023.806152,1022.615112,1023.119629,3000,1582145988.41951,1582146138.97152,2020-02-20 02:02:18,3603.14782691002
"19",19,1023.149536,1023.11192732867,1021.805664,1023.993164,1022.903809,1023.343811,3000,1582149591.28224,1582149741.75216,2020-02-20 03:02:21,3602.86273503304
"20",20,1023.435181,1023.35949834156,1021.682373,1024.422607,1023.13116475,1023.638672,3080,1582153194.66334,1582153341.012,2020-02-20 04:02:21,3603.38109898567
"21",21,1023.88562,1023.85224220422,1022.348633,1024.837158,1023.642273,1024.145386,3080,1582156797.50017,1582156947.74974,2020-02-20 05:02:27,3602.83682513237
"22",22,1024.963501,1024.90351712078,1023.708008,1025.906982,1024.680908,1025.180725,3080,1582160400.68255,1582160547.03119,2020-02-20 06:02:27,3603.18238687515
