"","group","median_BaromP","mean_BaromP","min_BaromP","max_BaromP","first_Qu_BaromP","third_Qu_BaromP","count","first_time","median_time","median_time_UTC","IBI_sec"
"1",1,1014.73645,1014.66274777833,1013.743896,1015.547119,1014.406006,1014.944702,600,1581050362.40062,1581050392.45057,2020-02-07 09:39:52,0
"2",2,1016.26062,1016.18888305167,1015.23877,1016.80249,1016.09204125,1016.3697505,600,1581053965.33248,1581053995.38239,2020-02-07 10:39:55,3602.93185591698
"3",3,1017.95813,1017.95092936333,1017.561768,1018.226807,1017.885986,1018.02301025,600,1581057569.68127,1581057599.83057,2020-02-07 11:39:59,3604.34878611565
"4",4,1017.2733155,1017.351977945,1016.415527,1018.961182,1017.073975,1017.45013425,600,1581061172.92416,1581061202.96975,2020-02-07 12:40:02,3603.24289798737
"5",5,1019.05957,1019.05783488,1018.609375,1019.503174,1018.943787,1019.173523,600,1581064775.6141,1581064805.56032,2020-02-07 13:40:05,3602.68993401527
"6",6,1018.376831,1018.37281638088,1017.834473,1018.926025,1018.24053975,1018.49646,680,1581068379.57407,1581068405.61935,2020-02-07 14:40:05,3603.95997285843
"7",7,1020.258545,1020.23799073333,1019.815674,1020.708496,1020.0896,1020.38476525,600,1581071982.59231,1581072012.64225,2020-02-07 15:40:12,3603.01823616028
"8",8,1020.4708255,1020.46768757667,1020.146729,1020.835938,1020.334595,1020.590088,600,1581075586.24993,1581075616.81824,2020-02-07 16:40:16,3603.65762090683
"9",9,1020.7263185,1020.70853924667,1020.266602,1021.183594,1020.546631,1020.85022,600,1581079189.17313,1581079219.21872,2020-02-07 17:40:19,3602.92320609093
"10",10,1021.075806,1021.08030274833,1020.67334,1021.444092,1020.961853,1021.211609,600,1581082792.96031,1581082823.01025,2020-02-07 18:40:23,3603.78717184067
"11",11,1021.753418,1021.74076702167,1021.122559,1022.213379,1021.60400375,1021.862671,600,1581086396.84255,1581086426.40865,2020-02-07 19:40:26,3603.88224196434
"12",12,1022.723511,1022.69956988833,1022.208496,1022.995117,1022.62078875,1022.802063,600,1581089999.57569,1581090029.62993,2020-02-07 20:40:29,3602.73314404488
"13",13,1023.13147,1023.14405599333,1022.824463,1023.52832,1023.04589875,1023.23138425,600,1581093603.25057,1581093633.20113,2020-02-07 21:40:33,3603.67488217354
"14",14,1022.154297,1022.15951415333,1021.780029,1022.654053,1022.064941,1022.25793425,600,1581097206.75265,1581097236.59952,2020-02-07 22:40:36,3603.50207877159
"15",15,1023.723511,1023.736433935,1023.40625,1024.066406,1023.634277,1023.853516,600,1581100810.81631,1581100840.90082,2020-02-07 23:40:40,3604.06365418434
