"","group","median_BaromP","mean_BaromP","min_BaromP","max_BaromP","first_Qu_BaromP","third_Qu_BaromP","count","first_time","median_time","median_time_UTC","IBI_sec"
"1",1,1011.604736,1011.5933942449,1010.536865,1012.493164,1011.37750275,1011.814453,3000,1581045548.26178,1581045698.51136,2020-02-07 08:21:38,0
"2",2,1013.3516845,1013.34403784205,1012.271973,1014.393799,1013.092773,1013.600159,3000,1581049894.62239,1581050044.87201,2020-02-07 09:34:04,4346.36061286926
"3",3,1015.3443605,1015.62633258684,1013.986572,1018.201416,1014.81665075,1016.484192,3000,1581053497.30368,1581053647.64832,2020-02-07 10:34:07,3602.68128418922
"4",4,1015.087402,1015.09539148879,1013.99585,1015.999268,1014.855957,1015.33355725,3000,1581057101.26369,1581057251.60834,2020-02-07 11:34:11,3603.96001291275
"5",5,1016.330444,1016.32137190034,1015.402344,1017.109863,1016.152222,1016.50604275,3000,1581060704.24737,1581060854.50992,2020-02-07 12:34:14,3602.98367595673
"6",6,1016.3342285,1016.34226908446,1015.494141,1017.281738,1016.12793,1016.565735,3000,1581064306.80767,1581064457.16097,2020-02-07 13:34:17,3602.56030297279
"7",7,1016.61792,1016.59595645658,1015.429443,1017.565918,1016.34558075,1016.866699,3000,1581067910.18881,1581068060.54207,2020-02-07 14:34:20,3603.38113903999
"8",8,1016.9801025,1016.96243229538,1016.059082,1017.738037,1016.782715,1017.16937275,3000,1581071513.12927,1581071663.48257,2020-02-07 15:34:23,3602.94046497345
"9",9,1017.274902,1017.2607293415,1016.279053,1018.12207,1017.069824,1017.47302275,3080,1581075116.23393,1581075262.57824,2020-02-07 16:34:22,3603.10465717316
"10",10,1018.2026365,1018.18181513316,1017.072021,1019.116943,1017.943115,1018.438965,2002,1581078719.32129,1581078819.47184,2020-02-07 17:33:39,3603.0873568058
