"","group","median_BaromP","mean_BaromP","min_BaromP","max_BaromP","first_Qu_BaromP","third_Qu_BaromP","count","first_time","median_time","median_time_UTC","IBI_sec"
"1",1,1009.383179,1009.36771565833,1008.827393,1009.796387,1009.299133,1009.44000225,600,1580984193.91969,1580984223.9696,2020-02-06 15:17:03,0
"2",2,1006.3223875,1006.35208051667,1005.367188,1007.103027,1006.15191675,1006.520447,600,1580987796.96384,1580987827.10882,2020-02-06 16:17:07,3603.04414701462
"3",3,1003.7891845,1003.82408284,1002.674805,1004.943848,1003.52667225,1004.14978,600,1580991400.04255,1580991430.09249,2020-02-06 17:17:10,3603.07870602608
"4",4,1003.526489,1003.55790364667,1002.974609,1004.290771,1003.35931375,1003.73657225,600,1580995004.00256,1580995033.94879,2020-02-06 18:17:13,3603.96001410484
"5",5,1005.0738525,1005.06812376167,1004.748047,1005.338867,1004.97821,1005.164368,600,1580998607.42687,1580998637.5805,2020-02-06 19:17:17,3603.42430901527
"6",6,1005.394287,1005.38548052333,1004.52832,1006.162354,1005.314148,1005.471497,600,1581002210.0995,1581002240.67216,2020-02-06 20:17:20,3602.67263293266
"7",7,1003.57605,1003.56717000667,1002.89502,1004.147217,1003.4158935,1003.743286,600,1581005814.56062,1581005844.71857,2020-02-06 21:17:24,3604.46111702919
"8",8,1003.7454835,1003.76006957333,1003.15918,1004.474121,1003.59820575,1003.92419425,600,1581009417.33698,1581009447.29185,2020-02-06 22:17:27,3602.77635502815
"9",9,1005.059326,1005.055079755,1004.279297,1005.92334,1004.882385,1005.239502,600,1581013020.96865,1581013050.55201,2020-02-06 23:17:30,3603.63167095184
"10",10,1005.952026,1005.95537352833,1005.476318,1006.617432,1005.8292845,1006.085266,600,1581016624.66944,1581016654.71934,2020-02-07 00:17:34,3603.70079088211
"11",11,1007.6484375,1007.64257243333,1006.904785,1007.954346,1007.552063,1007.738037,600,1581020227.22113,1581020257.27104,2020-02-07 01:17:37,3602.55169296265
"12",12,1007.815796,1007.81323401833,1007.543457,1008.115723,1007.761169,1007.86871325,600,1581023830.68,1581023860.63055,2020-02-07 02:17:40,3603.45886921883
"13",13,1008.97644,1008.97084104833,1008.686035,1009.234131,1008.896179,1009.05084225,600,1581027434.44126,1581027464.39185,2020-02-07 03:17:44,3603.76126194
"14",14,1008.811035,1008.80743854333,1008.564209,1009.034424,1008.71984875,1008.897156,600,1581031038.51361,1581031068.55919,2020-02-07 04:17:48,3604.07234406471
"15",15,1010.323608,1010.33376790667,1010.092773,1010.677002,1010.26330575,1010.395813,600,1581034641.16898,1581034671.21889,2020-02-07 05:17:51,3602.65537381172
"16",16,1011.038696,1011.03616659667,1010.69751,1011.338867,1010.958008,1011.11377,600,1581038244.72288,1581038274.9888,2020-02-07 06:17:54,3603.55390000343
"17",17,1010.2871095,1010.29738731167,1009.328857,1011.133789,1010.06372075,1010.5388185,600,1581041848.17314,1581041878.31808,2020-02-07 07:17:58,3603.45025897026
"18",18,1011.144409,1011.113271075,1010.135986,1011.908447,1010.91046175,1011.315979,600,1581045451.13086,1581045481.81151,2020-02-07 08:18:01,3602.95772600174
"19",19,1014.6380615,1014.63567145735,1014.281738,1014.976562,1014.54016075,1014.72467025,680,1581049054.90943,1581049081.36943,2020-02-07 09:18:01,3603.77856206894
"20",20,1015.337646,1015.31210978333,1014.862793,1015.688232,1015.190674,1015.442932,600,1581052658.37695,1581052688.4312,2020-02-07 10:18:08,3603.46751999855
"21",21,1016.1882325,1016.17645952833,1015.562744,1016.575928,1016.052612,1016.32428,600,1581056261.61984,1581056291.78208,2020-02-07 11:18:11,3603.24289798737
"22",22,1017.016235,1017.02461141167,1016.551025,1017.406982,1016.920776,1017.1450805,600,1581059865.68354,1581059895.82848,2020-02-07 12:18:15,3604.06369400024
"23",23,1017.423584,1017.42799435333,1016.717529,1017.970703,1017.243408,1017.619812,600,1581063468.53758,1581063498.59186,2020-02-07 13:18:18,3602.85404396057
"24",24,1016.300049,1016.29174478833,1015.519531,1017.09082,1016.06439225,1016.51263425,600,1581067071.70271,1581067101.75266,2020-02-07 14:18:21,3603.16512799263
"25",25,1016.5906985,1016.54570801,1015.49585,1017.492676,1016.23773225,1016.86718725,600,1581070675.54174,1581070705.41024,2020-02-07 15:18:25,3603.83903217316
"26",26,1018.5477295,1018.52367472833,1018.033691,1019.046631,1018.347656,1018.668579,600,1581074278.51681,1581074308.57104,2020-02-07 16:18:28,3602.97506594658
"27",27,1016.8046875,1016.800316155,1016.093262,1017.483398,1016.65612775,1016.95617675,600,1581077882.57185,1581077911.93055,2020-02-07 17:18:31,3604.05504393578
"28",28,1019.4468995,1019.45490113,1019.098633,1019.797852,1019.360718,1019.55279525,600,1581081485.25314,1581081515.29872,2020-02-07 18:18:35,3602.68128395081
"29",29,1018.161987,1018.145228265,1017.24707,1019.071533,1017.973389,1018.32495125,600,1581085088.91072,1581085118.96062,2020-02-07 19:18:38,3603.65758109093
