"","group","median_BaromP","mean_BaromP","min_BaromP","max_BaromP","first_Qu_BaromP","third_Qu_BaromP","count","first_time","median_time","median_time_UTC","IBI_sec"
"1",1,1010.158569,1010.109738774,1008.8479,1010.860352,1009.90716575,1010.356995,3000,1580795768.47968,1580795918.82864,2020-02-04 10:58:38,0
"2",2,1008.050659,1007.97068106467,1006.563721,1008.821533,1007.78009,1008.224243,3000,1580799371.03999,1580799522.55103,2020-02-04 11:58:42,3602.56030297279
"3",3,1008.776367,1008.563541984,1006.506836,1009.385254,1008.265442,1008.958557,3000,1580802975.01726,1580803125.37921,2020-02-04 12:58:45,3603.97727298737
"4",4,1009.094482,1008.81911198667,1006.43042,1009.591064,1008.78424075,1009.2229,3000,1580806577.95777,1580806728.31102,2020-02-04 13:58:48,3602.94050598145
"5",5,1006.703003,1006.692079187,1005.43335,1007.700684,1006.42980975,1006.96942125,3000,1580810180.86367,1580810331.20832,2020-02-04 14:58:51,3602.90590500832
"6",6,1007.1687015,1007.16151424267,1006.037598,1007.930664,1006.95745875,1007.406067,3000,1580813784.0288,1580813934.3821,2020-02-04 15:58:54,3603.16512703896
"7",7,1008.962891,1008.958343834,1008.608643,1009.385254,1008.875183,1009.040771,3000,1580817387.19393,1580817537.84962,2020-02-04 16:58:57,3603.16512799263
"8",8,1007.2677,1007.22692903867,1006.053711,1008.024902,1007.041199,1007.455383,3000,1580820989.94433,1580821140.28898,2020-02-04 17:59:00,3602.75040388107
"9",9,1008.095215,1008.05845719333,1007.009033,1008.749023,1007.84979275,1008.300171,3000,1580824593.03169,1580824743.38064,2020-02-04 18:59:03,3603.08735704422
"10",10,1009.720947,1009.72425815097,1009.263672,1010.231445,1009.643066,1009.809814,3080,1580828196.41279,1580828342.76144,2020-02-04 19:59:02,3603.381098032
"11",11,1009.4488525,1009.45163043506,1008.998291,1009.925537,1009.343689,1009.557129,3080,1580831799.77662,1580831946.03023,2020-02-04 20:59:06,3603.36383891106
"12",12,1008.860718,1008.85600407333,1007.925781,1009.584473,1008.68573,1009.05639625,3000,1580835402.35423,1580835552.80256,2020-02-04 21:59:12,3602.57760310173
"13",13,1010.955566,1010.9516337539,1010.475342,1011.341797,1010.860962,1011.04718,3080,1580839005.39841,1580839152.25248,2020-02-04 22:59:12,3603.04418683052
"14",14,1011.127686,1011.12107758994,1010.69043,1011.484375,1011.031921,1011.215393,3080,1580842608.2525,1580842755.11954,2020-02-04 23:59:15,3602.85408520699
"15",15,1012.060181,1012.06131624467,1011.653076,1012.461182,1011.976074,1012.151855,3000,1580846211.73728,1580846362.09058,2020-02-05 00:59:22,3603.48477888107
"16",16,1011.157837,1010.941732823,1009.001221,1012.30127,1010.8967285,1011.315735,3000,1580849814.60862,1580849964.96192,2020-02-05 01:59:24,3602.87134504318
"17",17,1010.38147,1010.43611367967,1009.501221,1011.759766,1010.180298,1010.592285,3000,1580853417.67872,1580853568.03202,2020-02-05 02:59:28,3603.0700969696
"18",18,1010.986084,1010.957517083,1009.750732,1011.908691,1010.75408975,1011.215698,3000,1580857021.13759,1580857171.49089,2020-02-05 03:59:31,3603.45886898041
"19",19,1010.420776,1010.40449617533,1009.212891,1011.398193,1010.19812,1010.636475,3000,1580860624.12126,1580860774.56959,2020-02-05 04:59:34,3602.98367595673
"20",20,1009.7631835,1009.73620003533,1008.791504,1010.664062,1009.49591075,1009.998108,3000,1580864226.57793,1580864376.93119,2020-02-05 05:59:36,3602.45666217804
"21",21,1010.24353,1010.20140991033,1009.324951,1010.854004,1010.023682,1010.408691,3000,1580867830.65023,1580867980.9992,2020-02-05 06:59:40,3604.07230377197
"22",22,1011.606567,1011.60363948733,1011.127686,1011.983154,1011.514893,1011.693848,3000,1580871433.1328,1580871583.48176,2020-02-05 07:59:43,3602.4825720787
"23",23,1011.080322,1011.04516755633,1009.86792,1011.977539,1010.778809,1011.351074,3000,1580875036.41022,1580875186.75919,2020-02-05 08:59:46,3603.2774181366
"24",24,1010.810547,1010.77641903067,1009.564941,1011.790283,1010.52362075,1011.09301725,3000,1580878639.46306,1580878790.55073,2020-02-05 09:59:50,3603.05283689499
"25",25,1010.489746,1010.46946769367,1009.339844,1011.728516,1010.216309,1010.72662325,3000,1580882242.61953,1580882392.97279,2020-02-05 10:59:52,3603.15647697449
"26",26,1011.07605,1011.07426679026,1010.595703,1011.450684,1010.993591,1011.163574,3080,1580885845.49088,1580885991.83951,2020-02-05 11:59:51,3602.87134504318
"27",27,1011.423584,1011.416395838,1010.067627,1012.461914,1011.25659175,1011.57391325,3000,1580889448.9584,1580889599.3117,2020-02-05 12:59:59,3603.46751999855
"28",28,1010.9400635,1010.87435725733,1009.643799,1011.75293,1010.61608875,1011.179932,3000,1580893052.32224,1580893202.57186,2020-02-05 14:00:02,3603.36383891106
"29",29,1011.762695,1011.76875724367,1011.255127,1012.217529,1011.652283,1011.888184,3000,1580896655.39233,1580896805.64191,2020-02-05 15:00:05,3603.07009601593
