"","group","median_BaromP","mean_BaromP","min_BaromP","max_BaromP","first_Qu_BaromP","third_Qu_BaromP","count","first_time","median_time","median_time_UTC","IBI_sec"
"1",1,1022.245972,1022.2410280789,1021.171143,1022.855957,1022.134277,1022.36554,3080,1581581354.64767,1581581509.00127,2020-02-13 13:11:49,0
"2",2,1021.4610595,1021.45514469567,1020.619141,1022.288086,1021.248718,1021.666626,3000,1581584957.55362,1581585108.10128,2020-02-13 14:11:48,3602.90594601631
"3",3,1022.89624,1022.87189925487,1021.924561,1023.493896,1022.686462,1023.07720925,3080,1581588560.60641,1581588711.18864,2020-02-13 15:11:51,3603.05279612541
"4",4,1024.496338,1024.485747322,1023.750244,1025.031982,1024.371033,1024.615051,3000,1581592164.1171,1581592314.4704,2020-02-13 16:11:54,3603.51068997383
"5",5,1023.795898,1023.8045759763,1023.038574,1024.641113,1023.634521,1023.972717,3080,1581595766.86751,1581595921.22111,2020-02-13 17:12:01,3602.75040388107
"6",6,1024.390381,1024.353280111,1022.962402,1025.075439,1024.19189475,1024.555481,3000,1581599369.69568,1581599520.04894,2020-02-13 18:12:00,3602.8281750679
"7",7,1025.16748,1025.14398942367,1024.20166,1026.071289,1024.989014,1025.32073925,3000,1581602972.53247,1581603122.94191,2020-02-13 19:12:02,3602.83678507805
"8",8,1026.9882815,1026.99789626688,1026.487061,1027.497314,1026.854736,1027.136536,3080,1581606575.98273,1581606730.34065,2020-02-13 20:12:10,3603.45025897026
"9",9,1026.454712,1026.43910913267,1025.81543,1026.928223,1026.31781,1026.554016,3000,1581610178.37023,1581610329.1296,2020-02-13 21:12:09,3602.38750100136
"10",10,1026.544189,1026.540596521,1025.884766,1027.101074,1026.408569,1026.666809,3000,1581613781.55266,1581613931.80223,2020-02-13 22:12:11,3603.18242788315
"11",11,1024.355957,1024.34120385667,1023.222656,1025.135498,1024.128906,1024.638916,3000,1581617385.13247,1581617535.48144,2020-02-13 23:12:15,3603.57981014252
"12",12,1024.329834,1024.30129842367,1023.107178,1024.963135,1024.13848875,1024.529358,3000,1581620988.40992,1581621138.75888,2020-02-14 00:12:18,3603.27745890617
"13",13,1025.355957,1025.34837679033,1024.637207,1025.882812,1025.201904,1025.500488,3000,1581624591.59231,1581624742.04064,2020-02-14 01:12:22,3603.18238711357
"14",14,1023.6466065,1023.643987459,1022.585938,1024.483154,1023.39312775,1023.889648,3000,1581628194.10079,1581628344.44977,2020-02-14 02:12:24,3602.50848197937
"15",15,1024.718506,1024.68911873433,1023.335205,1025.343262,1024.531616,1024.86676,3000,1581631797.09312,1581631947.44209,2020-02-14 03:12:27,3602.99232602119
"16",16,1023.562988,1023.50978694433,1021.848389,1024.357422,1023.27886975,1023.814514,3000,1581635400.77665,1581635551.12991,2020-02-14 04:12:31,3603.68353199959
"17",17,1023.5253905,1023.44555648994,1022.109131,1024.220947,1023.239197,1023.706055,3080,1581639003.76033,1581639149.52144,2020-02-14 05:12:29,3602.98367500305
"18",18,1024.706543,1024.694035479,1023.740479,1025.428223,1024.525574,1024.874329,3000,1581642607.14143,1581642757.58976,2020-02-14 06:12:37,3603.38109898567
"19",19,1023.199707,1023.45604443867,1021.770996,1025.013184,1022.73907475,1024.370605,3000,1581646209.84862,1581646360.20192,2020-02-14 07:12:40,3602.70719385147
"20",20,1023.967773,1023.96683113633,1023.042236,1024.599365,1023.79266375,1024.130127,3000,1581649813.0397,1581649963.38863,2020-02-14 08:12:43,3603.19107794762
"21",21,1022.391846,1022.32621190967,1020.854248,1023.31543,1022.085144,1022.635376,3000,1581653416.19618,1581653566.54943,2020-02-14 09:12:46,3603.15647721291
"22",22,1021.800537,1021.69674210267,1019.734619,1022.886963,1021.357117,1022.088257,3000,1581657019.49089,1581657169.83983,2020-02-14 10:12:49,3603.2947177887
"23",23,1020.3548585,1020.242951416,1018.755859,1021.340088,1019.81420875,1020.69842525,3000,1581660621.7488,1581660772.81922,2020-02-14 11:12:52,3602.25791120529
"24",24,1019.696045,1019.696923985,1018.969727,1020.264648,1019.553162,1019.843811,3000,1581664225.44094,1581664375.69056,2020-02-14 12:12:55,3603.69214081764
"25",25,1019.265625,1019.25391235367,1018.698242,1019.743408,1019.12774675,1019.385132,3000,1581667828.83073,1581667979.17967,2020-02-14 13:12:59,3603.38978910446
"26",26,1018.626099,1018.347964846,1014.981689,1019.891846,1018.27478,1018.80621325,3000,1581671431.40834,1581671581.76159,2020-02-14 14:13:01,3602.57760310173
