"","group","median_BaromP","mean_BaromP","min_BaromP","max_BaromP","first_Qu_BaromP","third_Qu_BaromP","count","first_time","median_time","median_time_UTC","IBI_sec"
"1",1,1026.304077,1026.250399088,1025.310791,1026.984131,1026.027954,1026.490784,3000,1581172904.48831,1581173054.84161,2020-02-08 19:44:14,0
"2",2,1027.982422,1027.97010441767,1027.53125,1028.630615,1027.884521,1028.06329325,3000,1581176507.04001,1581176657.48834,2020-02-08 20:44:17,3602.55169296265
"3",3,1028.021484,1028.015076411,1026.895508,1029.175293,1027.919128,1028.10083,3000,1581180110.53344,1581180260.87808,2020-02-08 21:44:20,3603.49343013763
"4",4,1028.322021,1028.32628285,1027.9375,1028.703369,1028.242676,1028.408691,3080,1581183713.58623,1581183867.93983,2020-02-08 22:44:27,3603.05279588699
"5",5,1028.212402,1028.20190153533,1027.648682,1028.650146,1028.09906,1028.309143,3000,1581187316.63903,1581187466.99233,2020-02-08 23:44:26,3603.05279612541
"6",6,1027.747192,1027.736745041,1027.260254,1028.217529,1027.653259,1027.822021,3000,1581190919.59679,1581191069.95009,2020-02-09 00:44:29,3602.95776581764
"7",7,1028.581299,1028.567370844,1027.866211,1029.131836,1028.503174,1028.648682,3000,1581194522.41632,1581194672.70911,2020-02-09 01:44:32,3602.81952500343
"8",8,1028.109619,1028.10990038026,1027.856445,1028.397949,1028.048584,1028.171875,3040,1581198125.31361,1581198277.60655,2020-02-09 02:44:37,3602.89729499817
"9",9,1027.563965,1027.49797330533,1026.157959,1028.06543,1027.457947,1027.648499,3000,1581201728.55647,1581201878.90977,2020-02-09 03:44:38,3603.24285817146
"10",10,1027.574707,1027.57606697333,1026.93457,1028.746582,1027.491699,1027.657227,3000,1581205331.83393,1581205482.17858,2020-02-09 04:44:42,3603.2774579525
"11",11,1026.754883,1026.7401768962,1025.865723,1027.577637,1026.580261,1026.925476,3160,1581208935.17186,1581209085.52079,2020-02-09 05:44:45,3603.33792901039
"12",12,1029.03894,1028.846717606,1027.189453,1030.536133,1028.757751,1029.173645,3000,1581212537.63713,1581212687.89103,2020-02-09 06:44:47,3602.46527194977
"13",13,1029.161133,1029.16819791633,1028.704834,1029.688232,1029.030212,1029.298828,3000,1581216140.58625,1581216290.9395,2020-02-09 07:44:50,3602.94911599159
"14",14,1029.181274,1029.198259358,1028.72876,1029.632568,1029.098633,1029.28924525,3000,1581219744.25248,1581219894.60145,2020-02-09 08:44:54,3603.66623091698
"15",15,1029.337646,1029.340937333,1028.868164,1030.341064,1029.239197,1029.437012,3000,1581223346.69184,1581223497.04081,2020-02-09 09:44:57,3602.43936109543
"16",16,1029.714844,1029.71756722267,1029.344238,1030.062988,1029.632812,1029.799133,3000,1581226950.33216,1581227100.81072,2020-02-09 10:45:00,3603.64032101631
"17",17,1029.901733,1029.901371743,1029.531006,1030.218262,1029.845886,1029.964661,3000,1581230552.88385,1581230703.84194,2020-02-09 11:45:03,3602.55169296265
"18",18,1029.891113,1029.88839559,1029.607666,1030.174805,1029.824219,1029.958984,3000,1581234156.62786,1581234306.88176,2020-02-09 12:45:06,3603.74400210381
"19",19,1029.12146,1029.06849113467,1027.615479,1029.861084,1028.980225,1029.241028,3000,1581237758.87712,1581237909.23041,2020-02-09 13:45:09,3602.24925994873
"20",20,1029.171631,1029.17247664933,1028.74707,1029.524414,1029.086182,1029.258545,3000,1581241362.73345,1581241513.0781,2020-02-09 14:45:13,3603.85633301735
"21",21,1027.908936,1027.866012943,1026.627686,1028.813477,1027.62933375,1028.157532,3000,1581244965.69121,1581245116.04015,2020-02-09 15:45:16,3602.95776486397
"22",22,1028.267334,1028.25226090667,1027.530273,1028.710693,1028.142761,1028.381348,3000,1581248568.94272,1581248719.29169,2020-02-09 16:45:19,3603.25150799751
"23",23,1027.727173,1027.73150715533,1027.374023,1028.225098,1027.663025,1027.799316,3000,1581252171.09695,1581252321.45025,2020-02-09 17:45:21,3602.1542301178
"24",24,1026.838745,1026.827940507,1026.040283,1027.42627,1026.696838,1026.979736,3000,1581255774.09793,1581255924.45118,2020-02-09 18:45:24,3603.00097608566
"25",25,1028.128418,1028.12726355177,1027.636963,1028.67749,1028.031738,1028.222168,3000,1581259377.09886,1581259528.26863,2020-02-09 19:45:28,3603.00093579292
"26",26,1027.8863525,1027.89281071833,1027.414795,1028.567627,1027.793884,1027.998779,3000,1581262980.6528,1581263131.61089,2020-02-09 20:45:31,3603.55394005775
"27",27,1027.230957,1027.22200350467,1026.741455,1027.627197,1027.109192,1027.346008,3000,1581266583.80063,1581266734.56,2020-02-09 21:45:34,3603.14782714844
"28",28,1025.286499,1025.22359097667,1024,1025.929688,1025.051025,1025.45813,3000,1581270186.85343,1581270337.71215,2020-02-09 22:45:37,3603.05279684067
"29",29,1024.793091,1024.689089975,1023.900879,1024.965332,1024.6527095,1024.861084,80,1581273855.26785,1581273859.22063,2020-02-09 23:44:19,3668.41442108154
