"","group","median_BaromP","mean_BaromP","min_BaromP","max_BaromP","first_Qu_BaromP","third_Qu_BaromP","count","first_time","median_time","median_time_UTC","IBI_sec"
"1",1,1014.208618,1014.20594725,1013.551758,1015.014648,1014.03924575,1014.38726825,600,1581051851.10721,1581051881.16145,2020-02-07 10:04:41,0
"2",2,1014.525024,1014.52938111,1013.882568,1015.26416,1014.36010775,1014.713196,600,1581055455.36097,1581055485.51023,2020-02-07 11:04:45,3604.2537560463
"3",3,1017.173096,1017.16784953167,1016.821289,1017.484131,1017.10791,1017.239258,600,1581059058.61248,1581059089.09008,2020-02-07 12:04:49,3603.25150799751
"4",4,1017.527466,1017.51545613,1017.18457,1017.871826,1017.430603,1017.59777825,600,1581062661.88994,1581062692.35024,2020-02-07 13:04:52,3603.2774579525
"5",5,1018.29895,1018.300606265,1017.929932,1018.609375,1018.221924,1018.38385,600,1581066265.36607,1581066295.32094,2020-02-07 14:04:55,3603.4761300087
"6",6,1018.695679,1018.69127198167,1018.391602,1019.015137,1018.60784875,1018.76599125,600,1581069868.61761,1581069898.57249,2020-02-07 15:04:58,3603.25154805183
"7",7,1017.8206785,1017.81373454167,1017.338867,1018.373779,1017.687683,1017.94555625,600,1581073472.68992,1581073502.73983,2020-02-07 16:05:02,3604.07230401039
"8",8,1017.961548,1018.05693237333,1017.081787,1019.298584,1017.702942,1018.4174195,600,1581077075.25022,1581077105.30017,2020-02-07 17:05:05,3602.56030201912
"9",9,1018.0427245,1018.00341961333,1017.243408,1018.727051,1017.89337175,1018.15509,600,1581080679.71999,1581080709.76994,2020-02-07 18:05:09,3604.46976804733
"10",10,1016.9117435,1016.89222005333,1016.135254,1017.459961,1016.72143575,1017.058655,600,1581084282.59137,1581084312.54192,2020-02-07 19:05:12,3602.87138485909
"11",11,1017.092529,1017.07858152833,1016.297852,1017.848633,1016.8566285,1017.29968225,600,1581087886.34398,1581087919.40928,2020-02-07 20:05:19,3603.75261092186
"12",12,1017.220947,1017.21458087833,1016.539307,1017.939697,1017.06036375,1017.37939475,600,1581091495.81634,1581091529.77152,2020-02-07 21:05:29,3609.47235608101
"13",13,1018.654175,1018.49343220333,1016.884277,1019.069092,1018.455261,1018.81335425,600,1581095105.86753,1581095139.33025,2020-02-07 22:05:39,3610.05118894577
"14",14,1016.433838,1016.4255249,1015.819092,1017.189209,1016.21826175,1016.6004025,600,1581098715.23616,1581098748.88895,2020-02-07 23:05:48,3609.36863398552
"15",15,1015.327637,1015.32667358,1014.63208,1016.116699,1015.116211,1015.51959225,600,1581102326.16866,1581102359.35056,2020-02-08 00:05:59,3610.93249607086
"16",16,1014.4049075,1014.405604635,1013.536621,1015.31958,1014.2045285,1014.63562025,600,1581105935.5459,1581105969.30241,2020-02-08 01:06:09,3609.37724399567
"17",17,1013.5491945,1013.508977465,1012.482666,1014.354248,1013.177063,1013.86968975,600,1581109546.04642,1581109576.10065,2020-02-08 02:06:16,3610.50051307678
"18",18,1013.18396,1013.13710447667,1011.814697,1014.029541,1012.92205775,1013.43487525,600,1581113152.16639,1581113185.73279,2020-02-08 03:06:25,3606.11996984482
"19",19,1013.277222,1013.25475993667,1012.471191,1014.21875,1013.043701,1013.445923,600,1581116761.92383,1581116795.19217,2020-02-08 04:06:35,3609.75744700432
"20",20,1012.3375245,1012.32060261333,1011.239258,1013.47998,1012.03942875,1012.644043,600,1581120371.79361,1581120404.9496,2020-02-08 05:06:44,3609.86977815628
"21",21,1014.418823,1014.35383871833,1013.174316,1015.289062,1014.12731975,1014.64349325,600,1581123981.43873,1581124011.2208,2020-02-08 06:06:51,3609.64511704445
"22",22,1014.403931,1014.38128213667,1013.463867,1015.395508,1014.16076675,1014.6114505,600,1581127585.13087,1581127615.18082,2020-02-08 07:06:55,3603.69214081764
"23",23,1015.0494385,1014.94127278667,1013.898682,1015.623535,1014.62951675,1015.283936,600,1581131188.39103,1581131218.44097,2020-02-08 08:06:58,3603.26015806198
"24",24,1014.5557865,1014.48693158167,1013.341553,1015.380371,1014.235962,1014.76617425,600,1581134791.34879,1581134821.29936,2020-02-08 09:07:01,3602.95776605606
"25",25,1016.793457,1016.74504313667,1015.460205,1017.844482,1016.54510475,1016.9923705,600,1581138395.10144,1581138425.47104,2020-02-08 10:07:05,3603.75265097618
"26",26,1018.710571,1018.71980996333,1017.73999,1019.767822,1018.497803,1018.96716325,600,1581141998.45663,1581142028.02274,2020-02-08 11:07:08,3603.35518908501
"27",27,1018.420654,1018.328274335,1017.15918,1019.257568,1018.12213125,1018.620056,600,1581145601.80321,1581145632.08207,2020-02-08 12:07:12,3603.34657883644
"28",28,1016.9434815,1016.88873657667,1015.76123,1017.92334,1016.666809,1017.161255,600,1581149205.16705,1581149235.33794,2020-02-08 13:07:15,3603.36383914948
"29",29,1018.8848875,1018.88036416333,1018.435791,1019.320557,1018.797363,1018.96612525,600,1581152808.33218,1581152838.48144,2020-02-08 14:07:18,3603.16512703896
"30",30,1019.761597,1019.74471478333,1019.165039,1020.208984,1019.581299,1019.9280395,600,1581156411.21217,1581156441.14975,2020-02-08 15:07:21,3602.87999486923
"31",31,1020.319336,1020.30856772167,1019.679932,1020.995605,1020.11059575,1020.496582,600,1581160015.26722,1581160044.50928,2020-02-08 16:07:24,3604.05504393578
"32",32,1020.86084,1020.850065525,1020.219971,1021.428467,1020.635925,1021.065491,600,1581163618.00897,1581163648.9704,2020-02-08 17:07:28,3602.74175405502
"33",33,1022.7442625,1022.77265624,1022.414795,1023.133789,1022.65277075,1022.89563025,600,1581167221.848,1581167251.43137,2020-02-08 18:07:31,3603.83903312683
"34",34,1023.411011,1023.39012531167,1022.699463,1023.929688,1023.23522975,1023.5302125,600,1581170825.39329,1581170855.48209,2020-02-08 19:07:35,3603.54528999329
"35",35,1024.51062,1024.50899536667,1023.71582,1025.35376,1024.317505,1024.659851,600,1581174428.10049,1581174461.74895,2020-02-08 20:07:41,3602.70719385147
"36",36,1024.449463,1024.45834877833,1023.920654,1024.93042,1024.32788075,1024.61096225,600,1581178038.73055,1581178072.28831,2020-02-08 21:07:52,3610.63006305695
"37",37,1024.5026855,1024.48907184667,1023.98584,1024.844482,1024.425476,1024.569092,600,1581181648.39297,1581181682.04143,2020-02-08 22:08:02,3609.66241693497
"38",38,1024.868286,1024.87412066,1024.397705,1025.324463,1024.75647,1024.99908425,600,1581185258.84158,1581185292.61104,2020-02-08 23:08:12,3610.44861197472
"39",39,1024.63147,1024.61684498529,1024.261475,1024.968506,1024.522888,1024.692383,680,1581188868.38306,1581188902.04017,2020-02-09 00:08:22,3609.54147601128
"40",40,1024.6226805,1024.5706246,1023.922119,1025.121582,1024.396118,1024.782227,600,1581192478.54658,1581192512.19936,2020-02-09 01:08:32,3610.16352009773
"41",41,1023.4399415,1023.46376464833,1022.849121,1024.189209,1023.355408,1023.5633545,600,1581196088.00159,1581196118.05154,2020-02-09 02:08:38,3609.45501494408
"42",42,1020.609253,1020.62411214667,1019.932129,1021.421631,1020.373108,1020.849182,600,1581199692.15167,1581199721.62274,2020-02-09 03:08:41,3604.1500749588
