"","group","median_BaromP","mean_BaromP","min_BaromP","max_BaromP","first_Qu_BaromP","third_Qu_BaromP","count","first_time","median_time","median_time_UTC","IBI_sec"
"1",1,1026.5322265,1026.42735881,1025.298828,1027.401855,1026.101074,1026.78112825,600,1581157119.78721,1581157149.84144,2020-02-08 15:19:09,0
"2",2,1026.3450925,1026.27850709167,1025.192139,1027.577881,1025.82043475,1026.6552735,600,1581160588.10784,1581160618.26143,2020-02-08 16:16:58,3468.3206372261
"3",3,1025.0205075,1024.93825073167,1023.910889,1025.775879,1024.61853025,1025.288208,600,1581164323.7328,1581164353.88207,2020-02-08 17:19:13,3735.62495994568
"4",4,1025.7229005,1025.716354575,1025.273193,1026.051758,1025.58489975,1025.85168425,600,1581167929.92193,1581167959.79039,2020-02-08 18:19:19,3606.18912982941
"5",5,1024.600464,1024.57929687353,1023.747803,1025.215576,1024.445068,1024.73687725,680,1581171530.79743,1581171556.85137,2020-02-08 19:19:16,3600.87550020218
"6",6,1026.785034,1026.73466796333,1026.143311,1027.125244,1026.549255,1026.9093015,600,1581175135.96706,1581175165.74913,2020-02-08 20:19:25,3605.16962194443
"7",7,1026.9343265,1026.93457883833,1026.650146,1027.233154,1026.840088,1027.03204325,600,1581178739.27904,1581178769.22959,2020-02-08 21:19:29,3603.3119790554
"8",8,1026.889404,1026.88216551167,1026.441895,1027.251465,1026.774414,1026.99292,600,1581182342.92801,1581182373.08159,2020-02-08 22:19:33,3603.64897084236
"9",9,1027.1169435,1027.10853923833,1026.84375,1027.320068,1027.034607,1027.17639125,600,1581185945.92033,1581185975.97024,2020-02-08 23:19:35,3602.99232602119
"10",10,1027.178223,1027.16960772333,1026.798096,1027.429688,1027.071533,1027.27124025,600,1581189550.40736,1581189580.46159,2020-02-09 00:19:40,3604.48702692986
"11",11,1027.0928955,1027.10033446667,1026.797119,1027.398193,1027.028564,1027.17437725,600,1581193153.1059,1581193183.16018,2020-02-09 01:19:43,3602.69854402542
"12",12,1026.378174,1026.37029824833,1025.843506,1026.766602,1026.276184,1026.501221,600,1581196756.90177,1581196786.95167,2020-02-09 02:19:46,3603.79586219788
