"","group","median_BaromP","mean_BaromP","min_BaromP","max_BaromP","first_Qu_BaromP","third_Qu_BaromP","count","first_time","median_time","median_time_UTC","IBI_sec"
"1",1,1004.665283,1004.64399881029,1004.212158,1005.377197,1004.5327755,1004.74823025,680,1582537191.86879,1582537224.8736,2020-02-24 14:40:24,0
"2",2,1002.8704835,1002.85751746667,1002.118896,1003.752441,1002.70233175,1003.03332525,600,1582540794.99071,1582540825.14001,2020-02-24 15:40:25,3603.12191700935
"3",3,1002.4299315,1002.41499023667,1001.745361,1002.974609,1002.2772825,1002.57073925,600,1582544397.79298,1582544428.24896,2020-02-24 16:40:28,3602.80226492882
"4",4,1003.1306155,1003.11319399853,1002.529297,1003.478027,1003.00433375,1003.234192,680,1582548001.71839,1582548035.76864,2020-02-24 17:40:35,3603.92541217804
"5",5,1003.4261475,1003.43161336,1002.94458,1003.974854,1003.27886975,1003.58233625,600,1582551605.13409,1582551635.08896,2020-02-24 18:40:35,3603.4156999588
"6",6,1004.262451,1004.29509196333,1003.815674,1004.773193,1004.177368,1004.41955525,600,1582555208.50658,1582555238.56081,2020-02-24 19:40:38,3603.37248897552
"7",7,1004.241577,1004.22649373333,1003.78418,1004.631836,1004.073303,1004.357605,600,1582558811.4816,1582558841.53151,2020-02-24 20:40:41,3602.97502493858
"8",8,1003.739746,1003.73056029833,1003.147949,1004.092041,1003.660034,1003.82788125,600,1582562415.13918,1582562445.18913,2020-02-24 21:40:45,3603.65758109093
"9",9,1004.3676755,1004.36218507,1004.017578,1004.712402,1004.255676,1004.45739725,600,1582566018.7968,1582566048.85104,2020-02-24 22:40:48,3603.6576218605
"10",10,1003.9595945,1003.965581045,1003.717041,1004.325439,1003.887573,1004.03198225,600,1582569621.8323,1582569651.88225,2020-02-24 23:40:51,3603.03549599648
"11",11,1002.9418945,1002.92016479167,1002.37207,1003.392334,1002.79815675,1003.059448,600,1582573225.61086,1582573255.56145,2020-02-25 00:40:55,3603.77856206894
"12",12,1002.786011,1002.76853389118,1002.365234,1003.102539,1002.668396,1002.880249,680,1582576828.4736,1582576854.51888,2020-02-25 01:40:54,3602.86273503304
"13",13,1002.381958,1002.36991456333,1001.756104,1002.713867,1002.28656,1002.466675,600,1582580432.51999,1582580462.56994,2020-02-25 02:41:02,3604.04639410973
"14",14,1001.78186,1001.75904175167,1001.166748,1002.225586,1001.654358,1001.901001,600,1582584036.07393,1582584066.11951,2020-02-25 03:41:06,3603.55393981934
"15",15,998.910278,998.839783955,997.946533,999.61377,998.686951,999.062317,600,1582587639.31679,1582587669.69071,2020-02-25 04:41:09,3603.24285817146
"16",16,998.1917725,998.174231365,997.409912,998.765869,998.013855,998.336121,600,1582591242.69793,1582591272.85152,2020-02-25 05:41:12,3603.38113880157
"17",17,997.1760255,997.127821865,996.144531,997.898438,996.90271,997.38629125,600,1582594846.36416,1582594875.61918,2020-02-25 06:41:15,3603.6662311554
"18",18,995.4299315,995.396387953333,994.60083,995.979492,995.225952,995.58349625,600,1582598449.91806,1582598479.77791,2020-02-25 07:41:19,3603.55390000343
"19",19,993.360474,993.349926336667,992.393799,994.054932,993.124695,993.607361,600,1582602053.71392,1582602083.7595,2020-02-25 08:41:23,3603.79586195946
"20",20,994.6257325,994.602871096667,993.880127,995.253662,994.472595,994.7506715,600,1582605656.75807,1582605686.4192,2020-02-25 09:41:26,3603.04414701462
"21",21,995.015869,994.988148208333,994.224609,995.567871,994.77624525,995.238098,600,1582609259.62945,1582609289.58001,2020-02-25 10:41:29,3602.87138485909
"22",22,994.591553,994.610362968333,993.807617,995.450439,994.40240475,994.86419675,600,1582612863.58082,1582612893.73008,2020-02-25 11:41:33,3603.9513630867
"23",23,997.123413,997.138101795,996.731445,997.532227,997.049988,997.2218015,600,1582616467.03969,1582616497.21058,2020-02-25 12:41:37,3603.45886898041
"24",24,998.9179685,998.896122625,998.378662,999.234375,998.81134,998.98156725,600,1582620070.19616,1582620100.37136,2020-02-25 13:41:40,3603.15647792816
"25",25,997.40332,997.335482978333,995.998291,998.349365,997.076904,997.62390125,600,1582623673.68094,1582623703.73089,2020-02-25 14:41:43,3603.48477911949
"26",26,999.4017335,999.34567911,997.953613,1000.287109,999.087341,999.623779,600,1582627277.44225,1582627307.49215,2020-02-25 15:41:47,3603.76130199432
"27",27,1001.882324,1001.861225575,1000.549561,1003.336914,1001.576843,1002.20007325,600,1582630881.50594,1582630911.56017,2020-02-25 16:41:51,3604.06369400024
"28",28,1002.27832,1002.265469965,1001.076172,1003.244385,1002.01824975,1002.54095425,600,1582634484.55874,1582634514.60864,2020-02-25 17:41:54,3603.05279707909
"29",29,1002.6190185,1002.60522501667,1001.314697,1003.721924,1002.27264425,1002.96881125,600,1582638088.21632,1582638118.17119,2020-02-25 18:41:58,3603.65758085251
"30",30,1007.778076,1007.77526734,1007.273193,1008.23999,1007.637451,1007.919495,600,1582641691.98623,1582641721.94111,2020-02-25 19:42:01,3603.76991200447
"31",31,1008.371948,1008.417390135,1007.797119,1009.178467,1008.04260275,1008.7542115,600,1582645294.65025,1582645324.6008,2020-02-25 20:42:04,3602.66402316093
"32",32,1009.229004,1009.22037516167,1008.79541,1009.98584,1009.056213,1009.369812,600,1582648898.3683,1582648928.85023,2020-02-25 21:42:08,3603.71805095673
"33",33,1009.367798,1009.36255288667,1008.919434,1009.910645,1009.197693,1009.503174,600,1582652501.36063,1582652531.29825,2020-02-25 22:42:11,3602.99232602119
"34",34,1011.848511,1011.83436564,1011.230713,1012.299316,1011.691895,1011.96063225,600,1582656104.68991,1582656135.0509,2020-02-25 23:42:15,3603.32927894592
"35",35,1011.46582,1011.44857139667,1010.269531,1011.958008,1011.279419,1011.606018,600,1582659740.90306,1582659771.04799,2020-02-26 00:42:51,3636.21314787865
"36",36,1011.93042,1011.92610188333,1011.463867,1012.310303,1011.83642575,1012.03570525,600,1582663376.4077,1582663406.56129,2020-02-26 01:43:26,3635.50464200974
"37",37,1012.9418945,1012.98046712167,1012.46582,1013.437988,1012.813965,1013.171204,600,1582666979.39998,1582667009.6616,2020-02-26 02:43:29,3602.99228596687
"38",38,1012.5321045,1012.53914796667,1012.025635,1013.278809,1012.354248,1012.69171125,600,1582670582.66014,1582670612.61073,2020-02-26 03:43:32,3603.26015806198
"39",39,1011.7008055,1011.68439983,1010.985352,1012.47168,1011.514038,1011.850403,600,1582674185.73024,1582674215.68079,2020-02-26 04:43:35,3603.07009601593
"40",40,1012.7852785,1012.782774255,1012.140381,1013.241455,1012.63568125,1012.958191,600,1582677789.24097,1582677819.39023,2020-02-26 05:43:39,3603.51073002815
"41",41,1013.3150635,1013.32121420333,1012.568359,1014.011475,1013.14917,1013.4959715,600,1582681393.12321,1582681422.51215,2020-02-26 06:43:42,3603.88224291801
"42",42,1013.850098,1013.836189805,1013.085205,1014.342529,1013.743835,1013.95904525,600,1582684996.36607,1582685026.47216,2020-02-26 07:43:46,3603.24285817146
"43",43,1014.085571,1014.06072878,1013.30835,1014.689453,1013.854187,1014.307007,600,1582688599.27201,1582688629.83168,2020-02-26 08:43:49,3602.90594482422
"44",44,1014.7896725,1014.68446899167,1013.459229,1015.706787,1014.351807,1015.026184,600,1582692202.82591,1582692232.98815,2020-02-26 09:43:52,3603.55390000343
"45",45,1013.6834715,1013.69073325667,1012.489502,1014.781982,1013.456543,1013.960632,600,1582695805.79233,1582695835.84224,2020-02-26 10:43:55,3602.96641612053
"46",46,1012.4396975,1012.39522704333,1011.082275,1013.592529,1012.053162,1012.7320555,600,1582699408.93151,1582699439.08081,2020-02-26 11:43:59,3603.13917708397
"47",47,1011.154175,1011.60222698,1010.082275,1013.407227,1010.79388425,1012.9458005,600,1582703012.20897,1582703042.25887,2020-02-26 12:44:02,3603.2774579525
"48",48,1010.5263675,1010.52427002,1009.369141,1011.392578,1010.24566625,1010.83392325,600,1582706615.88385,1582706645.83007,2020-02-26 13:44:05,3603.67488193512
"49",49,1011.734253,1011.35053064412,1008.92041,1012.936279,1010.6257935,1012.036682,680,1582710220.12895,1582710246.17856,2020-02-26 14:44:06,3604.24510502815
"50",50,1011.151733,1011.15187128676,1010.820557,1011.901367,1011.067322,1011.220581,680,1582713822.6893,1582713849.99166,2020-02-26 15:44:09,3602.56034302711
"51",51,1008.3342285,1008.33909873667,1007.482422,1009.059814,1008.12616,1008.54443375,600,1582717426.2432,1582717456.09007,2020-02-26 16:44:16,3603.55390000343
"52",52,1008.7608645,1008.77384723667,1007.683838,1009.710449,1008.535156,1008.98706025,600,1582721029.77983,1582721059.92912,2020-02-26 17:44:19,3603.53663992882
"53",53,1009.0854495,1009.08737468333,1008.216064,1009.804932,1008.93762175,1009.2637325,600,1582724633.54114,1582724663.31024,2020-02-26 18:44:23,3603.76130199432
